organization_code,deployment_code,track_code,track_uri,track_json,track_comments
SWFSC,SWFSC_ORE_20230426_ADRIFT_063,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_063/metadata/gps/ADRIFT_063_GPS.csv,,
SWFSC,SWFSC_ORE_20230426_ADRIFT_064,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_064/metadata/gps/ADRIFT_064_GPS.csv,,
SWFSC,SWFSC_ORE_20230426_ADRIFT_065,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_065/metadata/gps/ADRIFT_065_GPS.csv,,
SWFSC,SWFSC_HUM_20230507_ADRIFT_068,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_068/metadata/gps/ADRIFT_068_GPS.csv,,
SWFSC,SWFSC_HUM_20230507_ADRIFT_070,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_070/metadata/gps/ADRIFT_070_GPS.csv,,
SWFSC,SWFSC_ORE_20230517_ADRIFT_072,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_072/metadata/gps/ADRIFT_072_GPS.csv,,
SWFSC,SWFSC_ORE_20230517_ADRIFT_073,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_073/metadata/gps/ADRIFT_073_GPS.csv,,
SWFSC,SWFSC_ORE_20230517_ADRIFT_074,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_074/metadata/gps/ADRIFT_074_GPS.csv,,
SWFSC,SWFSC_ORE_20230517_ADRIFT_075,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_075/metadata/gps/ADRIFT_075_GPS.csv,,
SWFSC,SWFSC_ORE_20230717_ADRIFT_077,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_077/metadata/gps/ADRIFT_077_GPS.csv,,
SWFSC,SWFSC_ORE_20230717_ADRIFT_078,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_078/metadata/gps/ADRIFT_078_GPS.csv,,
SWFSC,SWFSC_ORE_20230804_ADRIFT_085,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_085/metadata/gps/ADRIFT_085_GPS.csv,,
SWFSC,SWFSC_ORE_20230804_ADRIFT_086,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_086/metadata/gps/ADRIFT_086_GPS.csv,,
SWFSC,SWFSC_ORE_20230804_ADRIFT_087,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_087/metadata/gps/ADRIFT_087_GPS.csv,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_088,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_088/metadata/gps/ADRIFT_088_GPS.csv,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_089,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_089/metadata/gps/ADRIFT_089_GPS.csv,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_090,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_090/metadata/gps/ADRIFT_090_GPS.csv,,
SWFSC,SWFSC_HUM_20231005_ADRIFT_097,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_097/metadata/gps/ADRIFT_097_GPS.csv,,
SWFSC,SWFSC_HUM_20231005_ADRIFT_098,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_098/metadata/gps/ADRIFT_098_GPS.csv,,
SWFSC,SWFSC_HUM_20231005_ADRIFT_099,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_099/metadata/gps/ADRIFT_099_GPS.csv,,
