organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_ORE_20230517_ADRIFT_072,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5296,HTI_856163,HTI_856171,satellite-tracker_SO-533,depth-sensor_17434",drifting_buoy,,2023-05-17T18:20:00Z,44.61386667,-124.7515667,R/V Elakha,ADRIFT,,,,2023-05-26T05:28:00Z,44.20557,-124.8223,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230517_ADRIFT_073,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5986,HTI_856159,HTI_856177,satellite-tracker_SO-692,depth-sensor_17435",drifting_buoy,,2023-05-17T18:45:00Z,44.64125,-124.7832,R/V Elakha,ADRIFT,,,,2023-05-26T11:32:00Z,43.57674,-124.9721,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230517_ADRIFT_074,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5991,HTI_856136,HTI_856145,satellite-tracker_SO-865,depth-sensor_17438",drifting_buoy,,2023-05-17T19:05:59Z,44.61011667,-124.8104167,R/V Elakha,ADRIFT,,,,2023-05-26T11:00:00Z,43.60559,-125.01611,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230517_ADRIFT_075,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5994,HTI_856138,HTI_856151,satellite-tracker_SO-588,depth-sensor_17439",drifting_buoy,,2023-05-17T19:02:00Z,44.583,-124.7810167,R/V Elakha,ADRIFT,,,,2023-05-26T05:39:00Z,44.22705,-124.84481,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230717_ADRIFT_077,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5986,HTI_856159,HTI_856177,satellite-tracker_SO-692,depth-sensor_17435",drifting_buoy,,2023-07-17T20:00:00Z,44.7479333,-124.74793,R/V Elakha,ADRIFT,,,,2023-07-21T21:20:00Z,44.4321666667,-124.808333333,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230717_ADRIFT_078,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5994,HTI_856138,HTI_856151,satellite-tracker_SO-588,depth-sensor_17439",drifting_buoy,,2023-07-17T18:25:00Z,44.73705,-124.67712,R/V Elakha,ADRIFT,,,,2023-07-21T21:00:00Z,44.4526666667,-124.845833333,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230804_ADRIFT_085,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5296,HTI_856163,HTI_856171,satellite-tracker_SO-533,depth-sensor_17434",drifting_buoy,,2023-08-04T22:05:59Z,45.3824167,-124.41357000000001,R/V Pacific Storm,ADRIFT,,,,2023-08-12T13:48:56Z,44.95337,-124.44817,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230804_ADRIFT_086,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5986,HTI_856159,HTI_856177,satellite-tracker_SO-692,depth-sensor_17435",drifting_buoy,,2023-08-04T22:39:00Z,45.3176667,-124.41017,R/V Pacific Storm,ADRIFT,,,,2023-08-12T15:48:00Z,44.83994,-124.47023,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_ORE_20230804_ADRIFT_087,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5994,HTI_856138,HTI_856151,satellite-tracker_SO-588,depth-sensor_17439",drifting_buoy,,2023-08-04T23:15:00Z,45.3368667,-124.46508,R/V Pacific Storm,ADRIFT,,,,2023-08-12T14:39:00Z,44.94423,-124.53973,R/V Pacific Storm,ADRIFT,,,,,
SWFSC,SWFSC_HUM_20230825_ADRIFT_088,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5992,HTI_856155,HTI_856166,satellite-tracker_SO-001,depth-sensor_16546",drifting_buoy,,2023-08-25T17:05:00Z,41.83065,-124.641,R/V Coral Sea,CoralSeaWW,,,,2023-08-28T21:17:00Z,41.144439,-124.41566,Scrimshaw,CoralSeaWW,,,,,
