organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_SND_20160924_PASCAL_024,SoundTrap_Recordings,"SoundTrap_6538,HTI_856052,HTI_856063",2016-09-24T01:47:57Z,2016-09-28T02:09:43Z,120,120,288,16,1,2,WAV,UTC,2016-09-24T01:47:57Z,2016-09-28T02:09:43Z,0,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_024,
SWFSC,SWFSC_SND_20160924_PASCAL_024,SoundTrap_Recordings,"SoundTrap_9174,HTI_1678299174,HTI_n/a",2016-09-24T01:46:49Z,2016-09-28T02:11:14Z,120,120,288,16,1,2,WAV,UTC,2016-09-24T01:46:49Z,2016-09-28T02:11:14Z,0,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_024,
SWFSC,SWFSC_SND_20160924_PASCAL_025,SoundTrap_Recordings,"SoundTrap_1436,HTI_856053,HTI_856064",2016-09-24T04:09:39Z,2016-09-28T02:25:43Z,120,120,288,16,1,2,WAV,UTC,2016-09-24T04:09:39Z,2016-09-28T02:25:43Z,0.047,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_025,
SWFSC,SWFSC_CHI_20160924_PASCAL_026,SoundTrap_Recordings,"SoundTrap_0774,HTI_856050,HTI_856065",2016-09-24T15:15:28Z,2016-09-26T04:21:29Z,120,120,288,16,1,2,WAV,UTC,2016-09-24T15:15:28Z,2016-09-26T04:21:29Z,0,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_026,
SWFSC,SWFSC_CHI_20160924_PASCAL_026,SoundTrap_Recordings,"SoundTrap_3689,HTI_201883689,HTI_n/a",2016-09-24T15:15:58Z,2016-09-26T04:22:03Z,120,120,288,16,1,2,WAV,UTC,2016-09-24T15:15:58Z,2016-09-26T04:22:03Z,0,144,GOOD,,250,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_026,
SWFSC,SWFSC_CHI_20160924_PASCAL_027,SoundTrap_Recordings,"SoundTrap_8025,HTI_856049,HTI_856068",2016-09-24T15:49:50Z,2016-09-26T03:53:51Z,120,120,288,16,1,2,WAV,UTC,2016-09-24T15:49:50Z,2016-09-26T03:53:51Z,0,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_027,
SWFSC,SWFSC_CHI_20160924_PASCAL_028,SoundTrap_Recordings,"SoundTrap_4581,HTI_856055,HTI_856066",2016-09-24T16:40:33Z,2016-09-29T03:38:00Z,120,120,288,16,1,2,WAV,UTC,2016-09-24T16:40:33Z,2016-09-29T03:38:00Z,0,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_028,
SWFSC,SWFSC_CHI_20160926_PASCAL_029,SoundTrap_Recordings,"SoundTrap_0774,HTI_856050,HTI_856065",2016-09-26T05:39:29Z,2016-09-28T14:17:31Z,120,120,288,16,1,2,WAV,UTC,2016-09-26T05:39:29Z,2016-09-28T14:17:31Z,0.25,144,COMPROMISED,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_029,
SWFSC,SWFSC_CHI_20160926_PASCAL_029,SoundTrap_Recordings,"SoundTrap_3689,HTI_201883689,HTI_n/a",2016-09-26T05:42:04Z,2016-09-28T14:18:11Z,120,120,288,16,1,2,WAV,UTC,2016-09-26T05:42:04Z,2016-09-28T14:18:11Z,0,144,GOOD,,250,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_029,
SWFSC,SWFSC_CHI_20160926_PASCAL_030,SoundTrap_Recordings,"SoundTrap_8025,HTI_856049,HTI_856068",2016-09-26T06:07:51Z,2016-09-28T15:13:54Z,120,120,288,16,1,2,WAV,UTC,2016-09-26T06:07:51Z,2016-09-28T15:13:54Z,0,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_030,
