organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,SoundTrap_Recordings,"SoundTrap_7951,HTI_856135,HTI_856147",2024-08-17T19:00:00Z,2024-08-25T13:02:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-17T19:00:00Z,2024-08-25T13:02:00Z,0.05,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_001,
SWFSC,SWFSC_NEPac_20240820_CalCurCEAS_002,SoundTrap_Recordings,"SoundTrap_6663,HTI_856164,HTI_856175",2024-08-20T13:36:00Z,2024-08-30T02:00:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-20T13:36:00Z,2024-08-30T02:00:00Z,0.5,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_002,
SWFSC,SWFSC_NEPac_20240820_CalCurCEAS_003,SoundTrap_Recordings,"SoundTrap_7517,HTI_856154,HTI_856170",2024-08-20T20:40:00Z,2024-08-30T05:00:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-20T20:40:00Z,2024-08-30T05:00:00Z,0.1,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_003,
SWFSC,SWFSC_NEPac_20240821_CalCurCEAS_004,SoundTrap_Recordings,"SoundTrap_7581,HTI_856141,HTI_856144",2024-08-21T04:02:00Z,2024-08-28T02:58:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-21T04:02:00Z,2024-08-28T02:58:00Z,0.05,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_004,
SWFSC,SWFSC_NEPac_20240823_CalCurCEAS_006,SoundTrap_Recordings,"SoundTrap_7936,HTI_856139,HTI_856148",2024-08-23T00:49:59Z,2024-08-30T15:28:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-23T00:49:59Z,2024-08-30T15:28:00Z,0.05,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_006,
SWFSC,SWFSC_NEPac_20240913_CalCurCEAS_008,SoundTrap_Recordings,"SoundTrap_7936,HTI_856136,HTI_856145",2024-09-13T22:12:00Z,2024-09-21T00:46:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-13T22:12:00Z,2024-09-21T00:46:00Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_008,
SWFSC,SWFSC_NEPac_20240914_CalCurCEAS_009,SoundTrap_Recordings,"SoundTrap_7517,HTI_856138,HTI_856151",2024-09-14T14:06:00Z,2024-09-23T21:22:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-14T14:06:00Z,2024-09-23T21:22:00Z,0.115,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_009,
SWFSC,SWFSC_NEPac_20240914_CalCurCEAS_010,SoundTrap_Recordings,"SoundTrap_6663,HTI_856159,HTI_856177",2024-09-14T21:23:00Z,2024-09-24T01:24:29Z,360,360,384,16,1,2,WAV,UTC,2024-09-14T21:23:00Z,2024-09-24T01:24:29Z,0.35,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_010,
SWFSC,SWFSC_NEPac_20240915_CalCurCEAS_011,SoundTrap_Recordings,"SoundTrap_7518,HTI_856156,HTI_856167",2024-09-15T17:00:00Z,2024-09-22T14:55:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-15T17:00:00Z,2024-09-22T14:55:00Z,0.06,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_011,
SWFSC,SWFSC_NEPac_20241001_CalCurCEAS_012,SoundTrap_Recordings,"SoundTrap_7930,HTI_856135,HTI_856147",2024-10-01T23:16:00Z,2024-10-05T03:02:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-01T23:16:00Z,2024-10-05T03:02:00Z,0.3,192,COMPROMISED,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_012,
