organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_MBY_20220621_ADRIFT_021,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6670,HTI_856164,HTI_856175,satellite-tracker_SO-798,depth-sensor_16597",drifting_buoy,NA,2022-06-21T17:15:00Z,35.80185,-121.984017,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T18:30:00Z,35.623483,-121.823783,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_022,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6667,HTI_856159,HTI_856177,satellite-tracker_SO-359,depth-sensor_16595",drifting_buoy,NA,2022-06-21T17:46:00Z,35.80385,-121.877383,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T16:50:59Z,35.49745,-122.023217,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_023,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6665,HTI_856141,HTI_856144,satellite-tracker_P,satellite-tracker_Q,satellite-tracker_SO-506,depth-sensor_16408",drifting_buoy,NA,2022-06-21T19:11:00Z,35.713917,-122.1861,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T21:26:00Z,35.843,-121.88,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_024,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6664,HTI_856163,HTI_856171,satellite-tracker_SO-919,depth-sensor_16536",drifting_buoy,NA,2022-06-21T19:36:00Z,35.71575,-122.085283,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T20:13:00Z,35.7206,-122.108667,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_025,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6672,HTI_856139,HTI_856148,satellite-tracker_SO-082,depth-sensor_16656",drifting_buoy,NA,2022-06-21T20:01:00Z,35.715583,-121.981633,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T17:21:00Z,35.541283,-122.025417,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_026,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6663,HTI_856165,HTI_856173,satellite-tracker_AE,satellite-tracker_FB,satellite-tracker_SO-692,depth-sensor_16658",drifting_buoy,NA,2022-06-21T20:35:59Z,35.715583,-121.876783,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T20:47:00Z,35.753433,-122.014633,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20220726_ADRIFT_028,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_6668,HTI_856154,HTI_856170,satellite-tracker_G,satellite-tracker_F,satellite-tracker_SO-082,depth-sensor_15801",drifting_buoy,NA,2022-07-26T17:05:00Z,37.88748,-123.3764,R/V Fulmar,ACCESS,NA,NA,NA,2022-07-30T18:24:00Z,37.71733,-123.7965,R/V Fulmar,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20220726_ADRIFT_027,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_6671,HTI_856117,HTI_856118,satellite-tracker_K,satellite-tracker_AF,satellite-tracker_SO-506,depth-sensor_16528",drifting_buoy,NA,2022-07-26T18:27:00Z,37.90122,-123.4428,R/V Fulmar,ACCESS,NA,NA,NA,2022-07-30T18:38:00Z,37.68333,-123.7762,R/V Fulmar,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20220728_ADRIFT_030,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856161,HTI_856176,satellite-tracker_SO-296,depth-sensor_15518",drifting_buoy,NA,2022-07-28T16:25:00Z,41.12946,-124.54122,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-08-01T21:32:00Z,41.04706,-125.02628,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20220728_ADRIFT_031,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5984,HTI_856155,HTI_856166,satellite-tracker_J,satellite-tracker_L,depth-sensor_16396",drifting_buoy,NA,2022-07-28T16:45:00Z,41.13133,-124.6411,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-08-01T21:30:00Z,41.08246,-125.01656,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20220913_ADRIFT_032,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856155,HTI_856166,satellite-tracker_SO-001,depth-sensor_16396",drifting_buoy,NA,2022-09-13T05:24:00Z,41.05022,-124.5336,R/V Coral Sea,THL,NA,NA,NA,2022-09-15T18:07:00Z,41.35018,-124.54007,F/V Scrimshaw,THL,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20220913_ADRIFT_033,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5984,HTI_856162,HTI_856168,satellite-tracker_SO-798,depth-sensor_15865",drifting_buoy,NA,2022-09-13T04:26:00Z,41.05015,-124.4334,R/V Coral Sea,THL,NA,NA,NA,2022-09-15T17:35:00Z,41.45931,-124.44917,F/V Scrimshaw,THL,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20220927_ADRIFT_034,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_6668,HTI_856154,HTI_856170,satellite-tracker_F,satellite-tracker_G,satellite-tracker_SO-082,depth-sensor_16528",drifting_buoy,NA,2022-09-27T17:43:00Z,38.047517,-123.561683,R/V Fulmar,ACCESS,NA,NA,NA,2022-10-01T16:45:00Z,38.33218,-123.45027,R/V Fulmar,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20221116_ADRIFT_036,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5984,HTI_856155,HTI_856166,satellite-tracker_SO-638,depth-sensor_15865",drifting_buoy,NA,2022-11-16T17:00:00Z,41.05025,-124.43292,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-11-21T17:48:59Z,40.93095,-124.34114,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20221116_ADRIFT_037,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_8025,HTI_856162,HTI_856168,satellite-tracker_SO-798,depth-sensor_16396",drifting_buoy,NA,2022-11-16T17:00:00Z,41.05077,-124.5109,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-11-21T18:17:59Z,41.01446,-124.40581,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20221116_ADRIFT_038,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856161,HTI_856176,satellite-tracker_SO-001,depth-sensor_15518",drifting_buoy,NA,2022-11-16T17:00:00Z,41.05112,-124.58429,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-11-21T18:08:00Z,40.99065,-124.41114,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20221213_ADRIFT_039,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5984,HTI_856155,HTI_856166,satellite-tracker_SO-638,depth-sensor_15865",drifting_buoy,NA,2022-12-13T21:19:00Z,40.8114,-124.4739,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-12-16T20:27:00Z,40.7025,-124.54954,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20221213_ADRIFT_040,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_8025,HTI_856162,HTI_856168,satellite-tracker_SO-798,depth-sensor_16396",drifting_buoy,NA,2022-12-13T21:35:00Z,40.8114,-124.5438,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-12-16T21:14:00Z,40.82093,-124.73885,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20221213_ADRIFT_041,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856161,HTI_856176,satellite-tracker_SO-001,depth-sensor_15518",drifting_buoy,NA,2022-12-13T21:48:00Z,40.8072,-124.609,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-12-16T22:21:00Z,41.04001,-124.42999,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230316_ADRIFT_042,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5296,HTI_856163,HTI_856171,satellite-tracker_SO-533,depth-sensor_17434",drifting_buoy,NA,2023-03-16T19:30:00Z,44.604816667,-124.7533,R/V Elakha,ADRIFT,NA,NA,NA,2023-03-21T00:45:00Z,44.60491,-124.69933,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230316_ADRIFT_043,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5986,HTI_856159,HTI_856177,satellite-tracker_SO-692,depth-sensor_17435",drifting_buoy,NA,2023-03-16T18:53:00Z,44.77816667,-124.72056667,R/V Elakha,ADRIFT,NA,NA,NA,2023-03-20T23:30:00Z,44.69511,-124.60888,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230316_ADRIFT_044,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5991,HTI_856136,HTI_856145,satellite-tracker_SO-865,depth-sensor_17438",drifting_buoy,NA,2023-03-16T20:10:00Z,44.54475,-124.65536667,R/V Elakha,ADRIFT,NA,NA,NA,2023-03-21T02:10:00Z,44.54705,-124.51382,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230316_ADRIFT_045,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5994,HTI_856138,HTI_856151,satellite-tracker_SO-588,depth-sensor_17439",drifting_buoy,NA,2023-03-16T18:01:00Z,44.61528333,-124.61868333,R/V Elakha,ADRIFT,NA,NA,NA,2023-03-21T01:40:00Z,44.54106,-124.5816033,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_046,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6655,HTI_856158,HTI_856172,satellite-tracker_SO-135,depth-sensor_16639,depth-sensor_16528",drifting_buoy,NA,2023-03-11T18:55:00Z,35.62419386,-121.8505283,R/V Shearwater,CCC,NA,NA,NA,2023-03-16T21:36:59Z,35.25666,-121.6134,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_047,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6668,HTI_856117,HTI_856128,satellite-tracker_SO-777,depth-sensor_16647,depth-sensor_16656",drifting_buoy,NA,2023-03-11T19:16:54Z,35.62972532,-121.9802548,R/V Shearwater,CCC,NA,NA,NA,2023-03-16T21:11:00Z,35.26058,-121.68873,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_048,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_7519,HTI_856157,HTI_856169,satellite-tracker_SO-359,depth-sensor_16658,depth-sensor_15737",drifting_buoy,NA,2023-03-11T19:51:07Z,35.62915861,-122.0844465,R/V Shearwater,CCC,NA,NA,NA,2023-03-18T18:23:00Z,35.35003,-120.943,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_049,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6671,HTI_856141,HTI_856144,satellite-tracker_SO-866,depth-sensor_15968,depth-sensor_15766",drifting_buoy,NA,2023-03-11T20:22:35Z,35.62906925,-122.1830466,R/V Shearwater,CCC,NA,NA,NA,2023-03-16T17:54:00Z,35.4120833,-120.8007,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_050,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6664,HTI_856165,HTI_856173,satellite-tracker_SO-082,depth-sensor_16530,depth-sensor_15801",drifting_buoy,NA,2023-03-11T20:52:45Z,35.5439932,-122.177762,R/V Shearwater,CCC,NA,NA,NA,2023-03-16T20:10:00Z,35.24386,-121.91488,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_051,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6667,HTI_856154,HTI_856170,satellite-tracker_SO-506,depth-sensor_16583,depth-sensor_16557",drifting_buoy,NA,2023-03-11T21:19:46Z,35.54540894,-122.0818228,R/V Shearwater,CCC,NA,NA,NA,2023-03-16T19:33:00Z,35.24386,-121.9148,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_052,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_7517,HTI_856164,HTI_856175,satellite-tracker_SO-919,depth-sensor_16409,depth-sensor_15761",drifting_buoy,NA,2023-03-11T21:44:21Z,35.54511705,-121.9806422,R/V Shearwater,CCC,NA,NA,NA,2023-03-17T00:02:00Z,35.088,-121.7386,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20230311_ADRIFT_053,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6665,HTI_856139,HTI_856148,satellite-tracker_SO-602,depth-sensor_16431,depth-sensor_16536",drifting_buoy,NA,2023-03-11T22:10:18Z,35.54311385,-121.872749,R/V Shearwater,CCC,NA,NA,NA,2023-03-17T00:36:59Z,34.95593,-121.70421,R/V Shearwater,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20230316_ADRIFT_054,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5984,HTI_856155,HTI_856166,satellite-tracker_SO-305,depth-sensor_15518",drifting_buoy,NA,2023-03-16T18:30:00Z,40.83895,-124.5385,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2023-03-18T16:57:00Z,40.80312,-124.52767,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20230316_ADRIFT_055,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_8025,HTI_856161,HTI_856176,satellite-tracker_SO-798,depth-sensor_15865",drifting_buoy,NA,2023-03-16T18:49:59Z,40.843466666666664,-124.62528333333331,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2023-03-18T17:08:00Z,40.87655,-124.45437,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20230316_ADRIFT_057,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5992,HTI_856162,HTI_856168,satellite-tracker_SO-001,depth-sensor_16408",drifting_buoy,NA,2023-03-16T19:30:00Z,40.846183333333336,-124.70943333333334,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2023-03-18T18:03:00Z,41.08561,-124.50659,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230413_ADRIFT_058,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5296,HTI_856163,HTI_856171,satellite-tracker_SO-533,depth-sensor_17434",drifting_buoy,NA,2023-04-13T07:34:59Z,43.81065,-124.61415,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-16T17:12:00Z,43.26737,-124.67334,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20230413_ADRIFT_059,SWFSC_ADRIFT_2021-2023,ORE,"SoundTrap_5986,HTI_856159,HTI_856177,satellite-tracker_SO-692,depth-sensor_17435",drifting_buoy,NA,2023-04-13T06:00:00Z,43.89408333,-124.7331667,R/V Pacific Storm,ADRIFT,NA,NA,NA,2023-04-16T21:10:00Z,43.69092,-124.50425,R/V Pacific Storm,ADRIFT,NA,NA,NA,NA,NA
